id,title,budget,revenue,runtime,release_year,genres,original_language,popularity,vote_average,vote_count,status,primary_genre,has_budget,has_revenue,roi,log_budget,log_popularity,log_vote_count
19995,Avatar,237000000,2787965087,162.0,2009.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,150.437577,7.2,11800,Released,Action,1,1,11.763565767932487,19.283570703318816,5.020173507037201,9.375939552625749
285,Pirates of the Caribbean: At World's End,300000000,961000000,169.0,2007.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",en,139.082615,6.9,4500,Released,Adventure,1,1,3.203333333333333,19.519293035953808,4.942232355707408,8.412054873292933
206647,Spectre,245000000,880674609,148.0,2015.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",en,107.376788,6.3,4466,Released,Action,1,1,3.5945902408163266,19.316768772590635,4.6856139332345075,8.404472321352118
49026,The Dark Knight Rises,250000000,1084939099,165.0,2012.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",en,112.31295,7.6,9106,Released,Action,1,1,4.339756396,19.33697147982652,4.730153459825441,9.11679862756782
49529,John Carter,260000000,284139100,132.0,2012.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,43.926995,6.1,2124,Released,Action,1,1,1.0928426923076924,19.376192192825954,3.805038839029222,7.661527081358517
559,Spider-Man 3,258000000,890871626,139.0,2007.0,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",en,115.699814,5.9,3576,Released,Fantasy,1,1,3.4529907984496124,19.36847014676186,4.759604945460906,8.182279739259018
38757,Tangled,260000000,591794936,100.0,2010.0,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",en,48.681969,7.4,3330,Released,Animation,1,1,2.2761343692307694,19.376192192825954,3.9056420704952255,8.11102783819368
99861,Avengers: Age of Ultron,280000000,1405403694,141.0,2015.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,134.279229,7.3,6767,Released,Action,1,1,5.019298907142857,19.450300164704952,4.907341005283723,8.81996090128606
767,Harry Potter and the Half-Blood Prince,250000000,933959197,153.0,2009.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",en,98.885637,7.4,5293,Released,Adventure,1,1,3.735836788,19.33697147982652,4.604025901544294,8.574329382787047
209112,Batman v Superman: Dawn of Justice,250000000,873260194,151.0,2016.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",en,155.790452,5.7,7004,Released,Action,1,1,3.493040776,19.33697147982652,5.054910213205119,8.854379458771108
1452,Superman Returns,270000000,391081192,154.0,2006.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,57.925623,5.4,1400,Released,Adventure,1,1,1.4484488592592593,19.413932520666354,4.076276021528289,7.244941546337007
10764,Quantum of Solace,200000000,586090727,106.0,2008.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",en,107.928811,6.1,2965,Released,Adventure,1,1,2.930453635,19.11382792951231,4.690694558768097,7.994969522697877
58,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,151.0,2006.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",en,145.847379,7.0,5246,Released,Adventure,1,1,5.32829906,19.11382792951231,4.989393809340984,8.565411763686711
57201,The Lone Ranger,255000000,89289910,149.0,2013.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",en,49.046956,5.9,2311,Released,Action,1,1,0.3501565098039215,19.35677410704427,3.912961684730849,7.7458682297922685
49521,Man of Steel,225000000,662845518,143.0,2013.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,99.398009,6.5,6359,Released,Action,1,1,2.94598008,19.23161096461314,4.609142376383708,8.757783656334167
2454,The Chronicles of Narnia: Prince Caspian,225000000,419651413,150.0,2008.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",en,53.978602,6.3,1630,Released,Adventure,1,1,1.8651173911111112,19.23161096461314,4.006944054985661,7.396948602621014
24428,The Avengers,220000000,1519557910,143.0,2012.0,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",en,144.448633,7.4,11776,Released,Science Fiction,1,1,6.907081409090909,19.20913810886209,4.979822986478345,9.373903755841548
1865,Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,136.0,2011.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",en,135.413856,6.4,4948,Released,Adventure,1,1,2.7518784263157894,19.755681813316283,4.915693323827812,8.506940814951886
41154,Men in Black 3,225000000,624026776,106.0,2012.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,52.035179,6.2,4160,Released,Action,1,1,2.773452337777778,19.23161096461314,3.9709554480813694,8.333510708982942
122917,The Hobbit: The Battle of the Five Armies,250000000,956019788,144.0,2014.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",en,120.965743,7.1,4760,Released,Action,1,1,3.824079152,19.33697147982652,4.803740210220969,8.46821300919452
1930,The Amazing Spider-Man,215000000,752215857,136.0,2012.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",en,89.866276,6.5,6586,Released,Action,1,1,3.4986784046511628,19.186148590743098,4.509388931245389,8.792853288640693
20662,Robin Hood,200000000,310669540,140.0,2010.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",en,37.668301,6.2,1398,Released,Action,1,1,1.5533477,19.11382792951231,3.6550201687863995,7.243512974665482
57158,The Hobbit: The Desolation of Smaug,250000000,958400000,161.0,2013.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",en,94.370564,7.6,4524,Released,Adventure,1,1,3.8336,19.33697147982652,4.5577699773827085,8.417372856134026
2268,The Golden Compass,180000000,372234864,113.0,2007.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",en,42.990906,5.8,1303,Released,Adventure,1,1,2.067971466666666,19.00846741441004,3.783982930738449,7.1731917424865985
254,King Kong,207000000,550000000,187.0,2005.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",en,61.22601,6.6,2337,Released,Adventure,1,1,2.657004830917874,19.14822935606056,4.130773079540168,7.757051142032013
597,Titanic,200000000,1845034188,194.0,1997.0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",en,100.025899,7.5,7562,Released,Drama,1,1,9.22517094,19.11382792951231,4.6153769097123725,8.93102321585603
271110,Captain America: Civil War,250000000,1153304495,147.0,2016.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,198.372395,7.1,7241,Released,Adventure,1,1,4.61321798,19.33697147982652,5.29517440762303,8.887652690325586
44833,Battleship,209000000,303025485,131.0,2012.0,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,64.928382,5.5,2114,Released,Thriller,1,1,1.4498827033492825,19.157844814713773,4.188569031644029,7.656810091480378
135397,Jurassic World,150000000,1513528810,124.0,2015.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",en,418.708552,6.5,8662,Released,Action,1,1,10.090192066666669,18.826145858727198,6.039560546591324,9.06681636189014
37724,Skyfall,200000000,1108561013,143.0,2012.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",en,93.004993,6.9,7604,Released,Action,1,1,5.542805065,19.11382792951231,4.543347897880621,8.936561204693394
558,Spider-Man 2,200000000,783766341,127.0,2004.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",en,35.149586,6.7,4321,Released,Action,1,1,3.918831705,19.11382792951231,3.587665496257038,8.371473537066832
68721,Iron Man 3,200000000,1215439994,130.0,2013.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,77.68208,6.8,8806,Released,Action,1,1,6.07719997,19.11382792951231,4.365415429368683,9.08330213880546
12155,Alice in Wonderland,200000000,1025491110,108.0,2010.0,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",en,78.530105,6.4,4645,Released,Family,1,1,5.12745555,19.11382792951231,4.376135629224679,8.443761913330354
36668,X-Men: The Last Stand,210000000,459359555,104.0,2006.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",en,3.857526,6.3,3525,Released,Adventure,1,1,2.187426452380953,19.162618093443648,1.58052925480274,8.167919362957816
62211,Monsters University,200000000,743559607,104.0,2013.0,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",en,89.186492,7.0,3528,Released,Animation,1,1,3.717798035,19.11382792951231,4.501879659756453,8.16876982367527
8373,Transformers: Revenge of the Fallen,150000000,836297228,150.0,2009.0,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",en,21.939663,6.0,3138,Released,Science Fiction,1,1,5.575314853333333,18.826145858727198,3.1328674210963694,8.051659556841953
91314,Transformers: Age of Extinction,210000000,1091405097,165.0,2014.0,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",en,116.840296,5.8,3095,Released,Science Fiction,1,1,5.1971671285714285,19.162618093443648,4.769330284031736,8.037866234709618
68728,Oz: The Great and Powerful,200000000,491868548,130.0,2013.0,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",en,46.985445,5.7,3530,Released,Fantasy,1,1,2.45934274,19.11382792951231,3.8708977357579646,8.169336395928386
102382,The Amazing Spider-Man 2,200000000,705717432,142.0,2014.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",en,89.270217,6.5,4179,Released,Action,1,1,3.52858716,19.11382792951231,4.502807583206587,8.338066525518801
20526,TRON: Legacy,170000000,400062763,125.0,2010.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,73.79505,6.3,2841,Released,Adventure,1,1,2.3533103705882352,18.951309000896888,4.314751706320084,7.952263308657046
49013,Cars 2,200000000,559852396,106.0,2011.0,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",en,49.98659,5.8,2033,Released,Animation,1,1,2.79926198,19.11382792951231,3.931562656972763,7.617759576608505
44912,Green Lantern,200000000,219851172,114.0,2011.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,51.872839,5.1,2487,Released,Adventure,1,1,1.09925586,19.11382792951231,3.9678897665548822,7.81923445385907
10193,Toy Story 3,200000000,1066969703,103.0,2010.0,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",en,59.995418,7.6,4597,Released,Animation,1,1,5.334848515,19.11382792951231,4.1107987465979585,8.433376705323127
