id,title,budget,revenue,runtime,release_year,genres,original_language,popularity,vote_average,vote_count,status,primary_genre,has_budget,has_revenue,roi
19995,Avatar,237000000,2787965087,162.0,2009.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,150.437577,7.2,11800,Released,Action,1,1,11.763565767932489
285,Pirates of the Caribbean: At World's End,300000000,961000000,169.0,2007.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",en,139.082615,6.9,4500,Released,Adventure,1,1,3.203333333333333
206647,Spectre,245000000,880674609,148.0,2015.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",en,107.376788,6.3,4466,Released,Action,1,1,3.5945902408163266
49026,The Dark Knight Rises,250000000,1084939099,165.0,2012.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",en,112.31295,7.6,9106,Released,Action,1,1,4.339756396
49529,John Carter,260000000,284139100,132.0,2012.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,43.926995,6.1,2124,Released,Action,1,1,1.0928426923076924
559,Spider-Man 3,258000000,890871626,139.0,2007.0,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",en,115.699814,5.9,3576,Released,Fantasy,1,1,3.4529907984496124
38757,Tangled,260000000,591794936,100.0,2010.0,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",en,48.681969,7.4,3330,Released,Animation,1,1,2.2761343692307694
99861,Avengers: Age of Ultron,280000000,1405403694,141.0,2015.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,134.279229,7.3,6767,Released,Action,1,1,5.019298907142857
767,Harry Potter and the Half-Blood Prince,250000000,933959197,153.0,2009.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",en,98.885637,7.4,5293,Released,Adventure,1,1,3.735836788
209112,Batman v Superman: Dawn of Justice,250000000,873260194,151.0,2016.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",en,155.790452,5.7,7004,Released,Action,1,1,3.493040776
1452,Superman Returns,270000000,391081192,154.0,2006.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,57.925623,5.4,1400,Released,Adventure,1,1,1.4484488592592593
10764,Quantum of Solace,200000000,586090727,106.0,2008.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",en,107.928811,6.1,2965,Released,Adventure,1,1,2.930453635
58,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,151.0,2006.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",en,145.847379,7.0,5246,Released,Adventure,1,1,5.32829906
57201,The Lone Ranger,255000000,89289910,149.0,2013.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",en,49.046956,5.9,2311,Released,Action,1,1,0.35015650980392155
